t,v_x,v_y,v_z
1.3899999999999999e-10,0.8610743215553924,1.4073328849228945,0.0
1.4e-10,0.6169855397806026,1.361317485984971,0.0
1.41e-10,0.3847129040687591,1.2733052835967265,0.0
1.42e-10,0.17142205073884437,1.1460114828929922,0.0
1.43e-10,-0.016306977290000246,0.9833631303369027,0.0
1.44e-10,-0.1726827254424275,0.7903779633273547,0.0
1.45e-10,-0.29288099429430436,0.5730096118982042,0.0
1.4599999999999999e-10,-0.3731936663592083,0.33796392807078224,0.0
1.47e-10,-0.4111431015404097,0.09249210913501546,0.0
1.48e-10,-0.40555857214779706,-0.15583300295754018,0.0
1.49e-10,-0.3566123794650286,-0.3993505448889175,0.0
1.5e-10,-0.26581453768260027,-0.6305479706449666,0.0
1.51e-10,-0.13596618921515224,-0.842292814480629,0.0
1.52e-10,0.028926811436544325,-1.0280527282643759,0.0
1.53e-10,0.22377747931346653,-1.1820970050257853,0.0
1.5399999999999999e-10,0.4425746335915045,-1.2996733716860713,0.0
1.55e-10,0.6785683436735562,-1.3771545969028531,0.0
1.56e-10,0.9244781657327118,-1.412150391170358,0.0
1.57e-10,1.1727177455726348,-1.4035811470565576,0.0
1.58e-10,1.4156288587708552,-1.3517112446969108,0.0
1.59e-10,1.6457176679321155,-1.258140895082431,0.0
1.6e-10,1.8558859084837294,-1.1257567727946842,0.0
1.6099999999999999e-10,2.03964987090304,-0.9586429611911611,0.0
1.62e-10,2.191340423751652,-0.7619549574099385,0.0
1.63e-10,2.3062779067874524,-0.5417606241708175,0.0
1.64e-10,2.380916498689368,-0.30485299504418517,0.0
1.65e-10,2.4129536056441707,-0.05854070818103224,0.0
1.66e-10,2.401400896157471,0.1895774663399062,0.0
1.67e-10,2.3466147906713926,0.4318470496805783,0.0
1.68e-10,2.2502854653968427,0.6607939959385761,0.0
1.6899999999999999e-10,2.1153847096105727,0.8693552673657854,0.0
1.7e-10,1.9460742450430697,1.0510967298373854,0.0
1.71e-10,1.7475773357323292,1.2004116464727046,0.0
1.72e-10,1.5260176492113182,1.3126936458617404,0.0
1.73e-10,1.2882303401959578,1.3844788288154066,0.0
1.74e-10,1.0415511848779004,1.4135526296403338,0.0
1.75e-10,0.7935902710657043,1.3990181352683635,0.0
1.7599999999999999e-10,0.551997225869439,1.3413237546024424,0.0
1.77e-10,0.3242252236887865,1.2422493844926263,0.0
1.78e-10,0.11730105488953552,1.1048514991406295,0.0
1.79e-10,-0.06239165142264333,0.9333688569487792,0.0
1.8e-10,-0.20930936293077765,0.7330917337855287,0.0
1.81e-10,-0.3189196624588663,0.5101987168533011,0.0
1.82e-10,-0.387841073219946,0.2715660941024439,0.0
1.83e-10,-0.41394737734555126,0.024555719563994827,0.0
1.8399999999999998e-10,-0.39643320947084215,-0.22321210100773206,0.0
1.85e-10,-0.33583890182058207,-0.46409369766900954,0.0
1.86e-10,-0.23403381433849993,-0.6906578445126141,0.0
1.87e-10,-0.0941586641447193,-0.8959150138709258,0.0
1.88e-10,0.07947136651818804,-1.073533003976776,0.0
1.89e-10,0.28149975470194427,-1.218032287946119,0.0
1.9e-10,0.5056938866116227,-1.3249550575491855,0.0
1.9099999999999999e-10,0.7451373349141268,-1.3910027467584727,0.0
1.92e-10,0.9924432317049415,-1.4141377924670426,0.0
1.93e-10,1.2399821545406189,-1.3936464930603238,0.0
1.94e-10,1.4801174952171843,-1.3301610256621865,0.0
1.95e-10,1.7054410501338362,-1.2256399428370939,0.0
1.96e-10,1.9090015642483502,-1.0833077504446154,0.0
1.97e-10,2.0845191780161922,-0.9075554306941342,0.0
1.98e-10,2.2265791616030204,-0.7038049792924967,0.0
1.9899999999999998e-10,2.3307989596532943,-0.4783421357460279,0.0
